Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Debt forgiveness grants (current US$),DT.DOD.MDRI.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,12040000,40430000,20910000,19290000,24330000,29980000,24970000,29980000,24860000,18260000,25800000,19530000,25070000,11260000,-7380000,11500000,-1700000,10490000,76220000,-11320000,,,,,,,,,,,
Aruba,ABW,Net official development assistance and official aid received (constant 2013 US$),DT.ODA.ALLD.KD,,,,,,,,,,,,,,,,,,,,,,,,,,39840000,98490000,42380000,37680000,50300000,52350000,43480000,47880000,41200000,29000000,35490000,28010000,40200000,17920000,-12000000,20800000,-3010000,17180000,102000000,-13620000,,,,,,,,,,,
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029310471,,,2.138784453,3.605985937,3.98141538,6.16435217,13.48254011,16.50927821,57.05427692,65.05605558,72.10431377,99.64250268,103.3849507,108.1325002,112.2180618,119.2038996,126.2103374,129.72824,,131.8565401,134.873823,135.0658893,
Aruba,ABW,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.61912,97.21595,94.33551,94.75524,90.15509,90.5599,88.19797,93.12736,95.58824,95.13303,96.30607,94.7861,,,,,
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Improved sanitation facilities (% of population with access),SH.STA.ACSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,98.6,98.5,98.5,98.4,98.4,98.3,98.3,98.3,98.2,98.2,98.1,98.1,98,98,98,97.9,97.9,97.8,97.8,97.7,97.7,97.7,97.7,97.7,97.7
Aruba,ABW,Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),SL.EMP.INSV.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,43.4,,,,,,48.3,,,,,,,48.6,,,51.7,,,,,
Aruba,ABW,"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.900000095,,,,,,,,,4.099999905,,,,,,,4.400000095,,,4.099999905,,,,,
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.129,67.625,68.065,68.458,68.817,69.165,69.526,69.917,70.345,70.811,71.306,71.815,72.312,72.779,73.204,73.579,73.902,74.183,74.43,74.647,74.839,75.01,75.164,75.305,75.436,75.556,75.663,75.754,75.827,75.886,75.932,75.969,76.002,76.033,76.066,76.1,76.133,76.164,76.192,76.221,76.257,76.307,76.375,76.465,76.575,76.703,76.846,76.994,77.144,77.29,77.43,77.564,77.694,77.821,77.946,
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.084,64.429,64.747,65.053,65.356,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.394,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.886,70.924,70.969,71.018,71.062,71.098,71.126,71.148,71.167,71.187,71.214,71.251,71.305,71.379,71.475,71.591,71.725,71.871,72.024,72.177,72.325,72.464,72.595,72.717,72.836,72.955,73.075,
Aruba,ABW,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.97771547,50.96238838,50.96752392,50.98506094,51.00562872,51.02336123,51.03444691,51.03963893,51.04735805,51.0643008,51.09624989,51.14573169,51.2072048,51.27077143,51.32259397,51.35273267,51.35585667,51.33518868,51.30103484,51.27046584,51.25465921,51.25893638,51.2780386,51.29412899,51.28837676,51.2470648,51.16691144,51.05361041,50.91933134,50.78483419,50.67258802,50.58879965,50.53564886,50.52691109,50.57235984,50.67599532,50.83718973,51.04450712,51.28213942,51.52127994,51.74227916,51.94092191,52.11853255,52.26614441,52.37487594,52.44074337,52.45958544,52.43731352,52.39091393,52.34676974,52.32339538,52.32695024,52.35221158,52.39261181,52.43568798,
Andorra,AND,Debt forgiveness grants (current US$),DT.DOD.MDRI.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Net official development assistance and official aid received (constant 2013 US$),DT.ODA.ALLD.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.307211734,1.278625641,1.250259142,4.424155104,8.538444783,13.44671556,22.12730607,32.14530928,35.99902139,43.27794118,45.77115817,68.60251444,73.82494308,79.48487497,84.27763597,78.1171579,80.2836099,82.06181111,84.06818386,83.53432222,81.50204186,80.70261809,82.64319489,
Andorra,AND,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,7.1,7.1,7.1,14.3,14.3,14.3,14.3,28.6,28.6,28.6,25,35.7,35.7,50,50,50,50,39.3
