Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Aruba	ABW	"Foreign direct investment, net outflows (% of GDP)"	BM.KLT.DINV.WD.GD.ZS																																			0.113397732	0.126903553	0.064777328	0.014587892	1.87856424	-0.103767742	0.140152916	-0.192012847	-0.316586848	-0.160303803	-0.366041388	-0.380245111	-0.529539453	1.507515219	0.100047823	0.060360959	0.110930252	0.121049935				
Aruba	ABW	"Foreign direct investment, net (BoP, current US$)"	BN.KLT.DINV.CD																															-130502793.3	-184748603.4	36983240.22	17932960.89	73184357.54	5530726.257	-84134078.21	-197597765.4	-82178770.95	-469329608.9	130558659.2	263240223.5	-338659217.9	-163016759.8	97541899.44	198934471.1	-233138804.5	510558659.2	-16089385.47	12122905.03	-184022346.4	-485027933	317486033.5	-225474860.3	-239664804.5	
Aruba	ABW	"Foreign direct investment, net inflows (BoP, current US$)"	BX.KLT.DINV.CD.WD																												1087875.796	12264016.63	1300000	130502793.3	184748603.4	-36983240.22	-17932960.89	-73184357.54	-5530726.257	84469273.74	195921787.7	83575418.99	463016759.8	-127988826.8	-267932960.9	261284916.2	154525139.7	133910614.5	-207798005.9	220316139.7	-471005586.6	18882681.56	-10614525.14	186759776.5	488156424.6	-314692737.4	229888268.2	248268156.4	
Aruba	ABW	"Foreign direct investment, net inflows (% of GDP)"	BX.KLT.DINV.WD.GD.ZS																																			-5.501889962	-0.418781726	6.12145749	12.78993435	5.018450185	26.87584514	-6.83170915	-13.95293358	13.46069718	7.644833104	6.009597304	-8.914522001	9.098427712	-17.95178081	0.676323283	-0.424762301	7.568159848	18.88811311				
Aruba	ABW	"Stocks traded, total value (current US$)"	CM.MKT.TRAD.CD																																																								
Aruba	ABW	"Stocks traded, total value (% of GDP)"	CM.MKT.TRAD.GD.ZS																																																								
Aruba	ABW	"Automated teller machines (ATMs) (per 100,000 adults)"	FB.ATM.TOTL.P5																																																				110.9713707	119.5705189	124.1532268	117.9175054	
Aruba	ABW	"Commercial bank branches (per 100,000 adults)"	FB.CBK.BRCH.P5																																																				20.96125892	21.96193204	19.28593814	19.05737461	
Aruba	ABW	"Borrowers from commercial banks (per 1,000 adults)"	FB.CBK.BRWR.P3																																																								
Aruba	ABW	"Depositors with commercial banks (per 1,000 adults)"	FB.CBK.DPTR.P3																																																								
Aruba	ABW	Domestic credit to private sector by banks (% of GDP)	FD.AST.PRVT.GD.ZS																																			39.75308694	43.06184433	45.41611336	43.23377097	41.8701107	44.62327446	44.79970061	46.01523884	51.33412576	55.6333244	52.4022845	54.73354104	54.95909506	52.790202	51.58497762	57.12008924	58.46452156	57.41257925				
Aruba	ABW	"Total reserves (includes gold, current US$)"	FI.RES.TOTL.CD																											73630000	78730000	90920000	127170000	136430000	154950000	175435000	220304999	215915000	255345000	224545000	201350001	250969999	248935000	235455000	321360614.5	374002933	336945700	339224000	324813400	401389600	455457100	691873900	686970110	708713690	689775980	768622300	653170670	680351000	
Aruba	ABW	Net domestic credit (current LCU)	FM.AST.DOMS.CN																											234945000	347761000	464808000	546526000	615469000	682864000	744685000	756790000	904862000	931933000	1072328000	1160807000	1227219000	1373971000	1478961000	1540655000	1706137000	1969561000	2061564000	2259793000	2313773000	2412872000	2364339000	2380279000	2541109000	2591796000	2854135000	2963489000	3139582000	
