INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
IC.FRM.FEMM.ZS,Firms with female top manager (% of firms),Firms with female top manager refers to the percentage of firms in the private sector who have females as top managers. Top manager refers to the highest ranking manager or CEO of the establishment. This person may be the owner if he/she works as the manager of the firm. The results are based on surveys of more than 100;000 private firms.,World Bank Enterprise Surveys
IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms),Firms with female participation in ownership are the percentage of firms with a woman among the principal owners.,World Bank; Enterprise Surveys (http://www.enterprisesurveys.org/).
SE.ADT.1524.LT.FE.ZS,Youth literacy rate; population 15-24 years; female (%),Number of females age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life; divided by the female population in that age group. Generally; ÅeliteracyÅf also encompasses ÅenumeracyÅf; the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100.,UNESCO Institute for Statistics
SE.ADT.1524.LT.FM.ZS,Youth literacy rate; population 15-24 years; gender parity index (GPI),Ratio of female youth literacy rate to male youth literacy rate. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general; a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.,UNESCO Institute for Statistics
SE.ADT.1524.LT.MA.ZS,Youth literacy rate; population 15-24 years; male (%),Number of males age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life; divided by the male population in that age group. Generally; ÅeliteracyÅf also encompasses ÅenumeracyÅf; the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100.,UNESCO Institute for Statistics
SE.ADT.LITR.FE.ZS,Adult literacy rate; population 15+ years; female (%),Percentage of females age 15 and above who can; with understanding; read and write a short; simple statement on their everyday life. Generally; ÅeliteracyÅf also encompasses ÅenumeracyÅf; the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of female literates aged 15 years and over by the corresponding age group population and multiplying the result by 100.,UNESCO Institute for Statistics
SE.ADT.LITR.MA.ZS,Adult literacy rate; population 15+ years; male (%),Percentage of males age 15 and above who can; with understanding; read and write a short; simple statement on their everyday life. Generally; ÅeliteracyÅf also encompasses ÅenumeracyÅf; the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of male literates aged 15 years and over by the corresponding age group population and multiplying the result by 100.,UNESCO Institute for Statistics
SE.ENR.PRIM.FM.ZS,Gross enrolment ratio; primary; gender parity index (GPI),Ratio of female gross enrolment ratio for primary to male gross enrolment ratio for primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general; a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.,UNESCO Institute for Statistics
SE.ENR.PRSC.FM.ZS,Gross enrolment ratio; primary and secondary; gender parity index (GPI),Ratio of female gross enrolment ratio for primary and secondary to male gross enrolment ratio for primary and secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general; a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.,UNESCO Institute for Statistics
SE.ENR.SECO.FM.ZS,Gross enrolment ratio; secondary; gender parity index (GPI),Ratio of female gross enrolment ratio for secondary to male gross enrolment ratio for secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general; a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.,UNESCO Institute for Statistics
