Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Aruba	ABW	Cash surplus/deficit (% of GDP)	GC.BAL.CASH.GD.ZS																																																								
Aruba	ABW	"Central government debt, total (% of GDP)"	GC.DOD.TOTL.GD.ZS																																																								
Aruba	ABW	Grants and other revenue (current LCU)	GC.REV.GOTR.CN																																																								
Aruba	ABW	Grants and other revenue (% of revenue)	GC.REV.GOTR.ZS																																																								
Aruba	ABW	"Revenue, excluding grants (current LCU)"	GC.REV.XGRT.CN																																																								
Aruba	ABW	"Revenue, excluding grants (% of GDP)"	GC.REV.XGRT.GD.ZS																																																								
Aruba	ABW	Taxes on exports (current LCU)	GC.TAX.EXPT.CN																																																								
Aruba	ABW	Taxes on exports (% of tax revenue)	GC.TAX.EXPT.ZS																																																								
Aruba	ABW	Taxes on goods and services (current LCU)	GC.TAX.GSRV.CN																																																								
Aruba	ABW	Taxes on goods and services (% of revenue)	GC.TAX.GSRV.RV.ZS																																																								
Aruba	ABW	Taxes on goods and services (% value added of industry and services)	GC.TAX.GSRV.VA.ZS																																																								
Aruba	ABW	Customs and other import duties (current LCU)	GC.TAX.IMPT.CN																																																								
Aruba	ABW	Customs and other import duties (% of tax revenue)	GC.TAX.IMPT.ZS																																																								
Aruba	ABW	Taxes on international trade (current LCU)	GC.TAX.INTT.CN																																																								
Aruba	ABW	Taxes on international trade (% of revenue)	GC.TAX.INTT.RV.ZS																																																								
Aruba	ABW	Other taxes (current LCU)	GC.TAX.OTHR.CN																																																								
Aruba	ABW	Other taxes (% of revenue)	GC.TAX.OTHR.RV.ZS																																																								
Aruba	ABW	Tax revenue (current LCU)	GC.TAX.TOTL.CN																																																								
Aruba	ABW	Tax revenue (% of GDP)	GC.TAX.TOTL.GD.ZS																																																								
Aruba	ABW	"Taxes on income, profits and capital gains (current LCU)"	GC.TAX.YPKG.CN																																																								
Aruba	ABW	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																								
Aruba	ABW	"Taxes on income, profits and capital gains (% of total taxes)"	GC.TAX.YPKG.ZS																																																								
Aruba	ABW	Goods and services expense (current LCU)	GC.XPN.GSRV.CN																																																								
Aruba	ABW	Goods and services expense (% of expense)	GC.XPN.GSRV.ZS																																																								
Aruba	ABW	Interest payments (current LCU)	GC.XPN.INTP.CN																																																								
Aruba	ABW	Interest payments (% of revenue)	GC.XPN.INTP.RV.ZS																																																								
Aruba	ABW	Interest payments (% of expense)	GC.XPN.INTP.ZS																																																								
Aruba	ABW	Other expense (current LCU)	GC.XPN.OTHR.CN																																																								
Aruba	ABW	Other expense (% of expense)	GC.XPN.OTHR.ZS																																																								
Aruba	ABW	Expense (current LCU)	GC.XPN.TOTL.CN																																																								
Aruba	ABW	Expense (% of GDP)	GC.XPN.TOTL.GD.ZS																																																								
Aruba	ABW	Time to prepare and pay taxes (hours)	IC.TAX.DURS																																																								
Aruba	ABW	Tax payments (number)	IC.TAX.PAYM																																																								
Aruba	ABW	Total tax rate (% of commercial profits)	IC.TAX.TOTL.CP.ZS																																																								
Aruba	ABW	CPIA business regulatory environment rating (1=low to 6=high)	IQ.CPA.BREG.XQ																																																								
Aruba	ABW	CPIA debt policy rating (1=low to 6=high)	IQ.CPA.DEBT.XQ																																																								
Aruba	ABW	CPIA economic management cluster average (1=low to 6=high)	IQ.CPA.ECON.XQ																																																								
Aruba	ABW	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	IQ.CPA.ENVR.XQ																																																								
Aruba	ABW	CPIA quality of budgetary and financial management rating (1=low to 6=high)	IQ.CPA.FINQ.XQ																																																								
Aruba	ABW	CPIA financial sector rating (1=low to 6=high)	IQ.CPA.FINS.XQ																																																								
Aruba	ABW	CPIA fiscal policy rating (1=low to 6=high)	IQ.CPA.FISP.XQ																																																								
Aruba	ABW	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																								
Aruba	ABW	CPIA building human resources rating (1=low to 6=high)	IQ.CPA.HRES.XQ																																																								
Aruba	ABW	CPIA macroeconomic management rating (1=low to 6=high)	IQ.CPA.MACR.XQ																																																								
Aruba	ABW	CPIA quality of public administration rating (1=low to 6=high)	IQ.CPA.PADM.XQ																																																								
Aruba	ABW	CPIA equity of public resource use rating (1=low to 6=high)	IQ.CPA.PRES.XQ																																																								
Aruba	ABW	CPIA property rights and rule-based governance rating (1=low to 6=high)	IQ.CPA.PROP.XQ																																																								
Aruba	ABW	CPIA social protection rating (1=low to 6=high)	IQ.CPA.PROT.XQ																																																								
Aruba	ABW	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	IQ.CPA.REVN.XQ																																																								
Aruba	ABW	CPIA trade rating (1=low to 6=high)	IQ.CPA.TRAD.XQ																																																								
Aruba	ABW	"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"	IQ.CPA.TRAN.XQ																																																								
Aruba	ABW	Arms imports (SIPRI trend indicator values)	MS.MIL.MPRT.KD																																																								
Aruba	ABW	"Armed forces personnel, total"	MS.MIL.TOTL.P1																																																								
Aruba	ABW	Armed forces personnel (% of total labor force)	MS.MIL.TOTL.TF.ZS																																																								
Aruba	ABW	Military expenditure (current LCU)	MS.MIL.XPND.CN																																																								
Aruba	ABW	Military expenditure (% of GDP)	MS.MIL.XPND.GD.ZS																																																								
Aruba	ABW	Military expenditure (% of central government expenditure)	MS.MIL.XPND.ZS																																																								
Aruba	ABW	Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD																																					18000000																			
Aruba	ABW	"Female legislators, senior officials and managers (% of total)"	SG.GEN.LSOM.ZS																																			28.77094953			33.374113			35.85858445							40.25022659				42.75056707				
Aruba	ABW	Proportion of seats held by women in national parliaments (%)	SG.GEN.PARL.ZS																																																								
Aruba	ABW	Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no)	SG.JOB.NOPN.EQ																																																								
Aruba	ABW	Law prohibits or invalidates child or early marriage (1=yes; 0=no)	SG.LAW.CHMR																																																								
Aruba	ABW	Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)	SG.LAW.EQRM.WK																																																								
Aruba	ABW	Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)	SG.LAW.NODC.HR																																																								
Aruba	ABW	Legislation exists on domestic violence (1=yes; 0=no)	SG.LEG.DVAW																																																								
Aruba	ABW	Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no)	SG.MMR.LEVE.EP																																																								
Aruba	ABW	Battle-related deaths (number of people)	VC.BTL.DETH																																																								
Aruba	ABW	"Internally displaced persons (number, high estimate)"	VC.IDP.TOTL.HE																																																								
Aruba	ABW	"Internally displaced persons (number, low estimate)"	VC.IDP.TOTL.LE																																																								
Aruba	ABW	"Intentional homicides (per 100,000 people)"	VC.IHR.PSRC.P5																																											5.263434918	4.123073751	2.025480545	11.99628115	9.917683229	5.927740839	4.93369119	3.944073044	3.937124128					
Aruba	ABW	"Presence of peace keepers (number of troops, police, and military observers in mandate)"	VC.PKP.TOTL.UN																																																								
Andorra	AND	Cash surplus/deficit (% of GDP)	GC.BAL.CASH.GD.ZS																																																								
Andorra	AND	"Central government debt, total (% of GDP)"	GC.DOD.TOTL.GD.ZS																																																								
Andorra	AND	Grants and other revenue (current LCU)	GC.REV.GOTR.CN																																																								
Andorra	AND	Grants and other revenue (% of revenue)	GC.REV.GOTR.ZS																																																								
Andorra	AND	"Revenue, excluding grants (current LCU)"	GC.REV.XGRT.CN																																																								
Andorra	AND	"Revenue, excluding grants (% of GDP)"	GC.REV.XGRT.GD.ZS																																																								
Andorra	AND	Taxes on exports (current LCU)	GC.TAX.EXPT.CN																																																								
Andorra	AND	Taxes on exports (% of tax revenue)	GC.TAX.EXPT.ZS																																																								
Andorra	AND	Taxes on goods and services (current LCU)	GC.TAX.GSRV.CN																																																								
Andorra	AND	Taxes on goods and services (% of revenue)	GC.TAX.GSRV.RV.ZS																																																								
Andorra	AND	Taxes on goods and services (% value added of industry and services)	GC.TAX.GSRV.VA.ZS																																																								
Andorra	AND	Customs and other import duties (current LCU)	GC.TAX.IMPT.CN																																																								
Andorra	AND	Customs and other import duties (% of tax revenue)	GC.TAX.IMPT.ZS																																																								
Andorra	AND	Taxes on international trade (current LCU)	GC.TAX.INTT.CN																																																								
Andorra	AND	Taxes on international trade (% of revenue)	GC.TAX.INTT.RV.ZS																																																								
Andorra	AND	Other taxes (current LCU)	GC.TAX.OTHR.CN																																																								
Andorra	AND	Other taxes (% of revenue)	GC.TAX.OTHR.RV.ZS																																																								
Andorra	AND	Tax revenue (current LCU)	GC.TAX.TOTL.CN																																																								
Andorra	AND	Tax revenue (% of GDP)	GC.TAX.TOTL.GD.ZS																																																								
Andorra	AND	"Taxes on income, profits and capital gains (current LCU)"	GC.TAX.YPKG.CN																																																								
Andorra	AND	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																								
Andorra	AND	"Taxes on income, profits and capital gains (% of total taxes)"	GC.TAX.YPKG.ZS																																																								
Andorra	AND	Goods and services expense (current LCU)	GC.XPN.GSRV.CN																																																								
Andorra	AND	Goods and services expense (% of expense)	GC.XPN.GSRV.ZS																																																								
Andorra	AND	Interest payments (current LCU)	GC.XPN.INTP.CN																																																								
Andorra	AND	Interest payments (% of revenue)	GC.XPN.INTP.RV.ZS																																																								
Andorra	AND	Interest payments (% of expense)	GC.XPN.INTP.ZS																																																								
Andorra	AND	Other expense (current LCU)	GC.XPN.OTHR.CN																																																								
Andorra	AND	Other expense (% of expense)	GC.XPN.OTHR.ZS																																																								
Andorra	AND	Expense (current LCU)	GC.XPN.TOTL.CN																																																								
Andorra	AND	Expense (% of GDP)	GC.XPN.TOTL.GD.ZS																																																								
Andorra	AND	Time to prepare and pay taxes (hours)	IC.TAX.DURS																																																								
Andorra	AND	Tax payments (number)	IC.TAX.PAYM																																																								
Andorra	AND	Total tax rate (% of commercial profits)	IC.TAX.TOTL.CP.ZS																																																								
Andorra	AND	CPIA business regulatory environment rating (1=low to 6=high)	IQ.CPA.BREG.XQ																																																								
Andorra	AND	CPIA debt policy rating (1=low to 6=high)	IQ.CPA.DEBT.XQ																																																								
Andorra	AND	CPIA economic management cluster average (1=low to 6=high)	IQ.CPA.ECON.XQ																																																								
Andorra	AND	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	IQ.CPA.ENVR.XQ																																																								
Andorra	AND	CPIA quality of budgetary and financial management rating (1=low to 6=high)	IQ.CPA.FINQ.XQ																																																								
Andorra	AND	CPIA financial sector rating (1=low to 6=high)	IQ.CPA.FINS.XQ																																																								
Andorra	AND	CPIA fiscal policy rating (1=low to 6=high)	IQ.CPA.FISP.XQ																																																								
Andorra	AND	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																								
Andorra	AND	CPIA building human resources rating (1=low to 6=high)	IQ.CPA.HRES.XQ																																																								
Andorra	AND	CPIA macroeconomic management rating (1=low to 6=high)	IQ.CPA.MACR.XQ																																																								
Andorra	AND	CPIA quality of public administration rating (1=low to 6=high)	IQ.CPA.PADM.XQ																																																								
Andorra	AND	CPIA equity of public resource use rating (1=low to 6=high)	IQ.CPA.PRES.XQ																																																								
Andorra	AND	CPIA property rights and rule-based governance rating (1=low to 6=high)	IQ.CPA.PROP.XQ																																																								
Andorra	AND	CPIA social protection rating (1=low to 6=high)	IQ.CPA.PROT.XQ																																																								
Andorra	AND	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	IQ.CPA.REVN.XQ																																																								
Andorra	AND	CPIA trade rating (1=low to 6=high)	IQ.CPA.TRAD.XQ																																																								
Andorra	AND	"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"	IQ.CPA.TRAN.XQ																																																								
Andorra	AND	Arms imports (SIPRI trend indicator values)	MS.MIL.MPRT.KD																																																								
Andorra	AND	"Armed forces personnel, total"	MS.MIL.TOTL.P1																																																								
Andorra	AND	Armed forces personnel (% of total labor force)	MS.MIL.TOTL.TF.ZS																																																								
Andorra	AND	Military expenditure (current LCU)	MS.MIL.XPND.CN																																																								
Andorra	AND	Military expenditure (% of GDP)	MS.MIL.XPND.GD.ZS																																																								
Andorra	AND	Military expenditure (% of central government expenditure)	MS.MIL.XPND.ZS																																																								
Andorra	AND	Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD																																																								
