"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"SE.ADT.1524.LT.FM.ZS","Youth literacy rate, population 15-24 years, gender parity index (GPI)","Ratio of female youth literacy rate to male youth literacy rate. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.","UNESCO Institute for Statistics",
"SE.ENR.PRIM.FM.ZS","Gross enrolment ratio, primary, gender parity index (GPI)","Ratio of female gross enrolment ratio for primary to male gross enrolment ratio for primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.","UNESCO Institute for Statistics",
"SE.ENR.PRSC.FM.ZS","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","Ratio of female gross enrolment ratio for primary and secondary to male gross enrolment ratio for primary and secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.","UNESCO Institute for Statistics",
"SE.ENR.SECO.FM.ZS","Gross enrolment ratio, secondary, gender parity index (GPI)","Ratio of female gross enrolment ratio for secondary to male gross enrolment ratio for secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.","UNESCO Institute for Statistics",
"SE.ENR.TERT.FM.ZS","Gross enrolment ratio, tertiary, gender parity index (GPI)","Ratio of female gross enrolment ratio for tertiary to male gross enrolment ratio for tertiary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.","UNESCO Institute for Statistics",
"SG.GEN.PARL.ZS","Proportion of seats held by women in national parliaments (%)","Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.","Inter-Parliamentary Union (IPU) (www.ipu.org)",
"SH.HIV.1524.FE.ZS","Prevalence of HIV, female (% ages 15-24)","Prevalence of HIV is the percentage of people who are infected with HIV. Youth rates are as a percentage of the relevant age group.","UNAIDS estimates.",
"SH.HIV.1524.MA.ZS","Prevalence of HIV, male (% ages 15-24)","Prevalence of HIV is the percentage of people who are infected with HIV. Youth rates are as a percentage of the relevant age group.","UNAIDS estimates.",
"SL.EMP.INSV.FE.ZS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","Share of women in wage employment in the nonagricultural sector is the share of female workers in wage employment in the nonagricultural sector (industry and services), expressed as a percentage of total employment in the nonagricultural sector. Industry includes mining and quarrying (including oil production), manufacturing, construction, electricity, gas, and water, corresponding to divisions 2-5 (ISIC revision 2) or tabulation categories C-F (ISIC revision 3). Services include wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services-corresponding to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.VULN.FE.ZS","Vulnerable employment, female (% of female employment)","Vulnerable employment is unpaid family workers and own-account workers as a percentage of total employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.VULN.MA.ZS","Vulnerable employment, male (% of male employment)","Vulnerable employment is unpaid family workers and own-account workers as a percentage of total employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.0714.FE.ZS","Children in employment, female (% of female children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.MA.ZS","Children in employment, male (% of male children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.FE.ZS","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.MA.ZS","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
