"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"per_allsp.adq_pop_tot","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","Adequacy of social protection and labor programs (SPL) is measured by the total transfer amount received by the population participating in social insurance, social safety net, and unemployment benefits and active labor market programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Estimates include both direct and indirect beneficiaries.","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_allsp.ben_q1_tot","Benefits incidence in poorest quintile (%) -All Social Protection and Labor ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_allsp.cov_pop_tot","Coverage (%) -All Social Protection and Labor ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_lm_alllm.adq_pop_tot","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","Adequacy of unemployment benefits and active labor market programs (ALMP) is measured by the total transfer amount received by the population participating in unemployment benefits and active labor market programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Unemployment benefits and active labor market programs include unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_lm_alllm.ben_q1_tot","Benefits incidence in poorest quintile (%) - All Labor Market ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_lm_alllm.cov_pop_tot","Coverage (%) - All Labor Market ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_sa_allsa.adq_pop_tot","Adequacy of social safety net programs (% of total welfare of beneficiary households)","Adequacy of social safety net programs is measured by the total transfer amount received by the population participating in social safety net programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Social safety net programs include cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_sa_allsa.ben_q1_tot","Benefits incidence in poorest quintile (%) - All Social Assistance ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_sa_allsa.cov_pop_tot","Coverage (%) - All Social Assistance ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_si_allsi.adq_pop_tot","Adequacy of social insurance programs (% of total welfare of beneficiary households)","Adequacy of social insurance programs is measured by the total transfer amount received by the population participating in social insurance programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Social insurance programs include old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_si_allsi.ben_q1_tot","Benefits incidence in poorest quintile (%) - All Social Insurance ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"per_si_allsi.cov_pop_tot","Coverage (%) - All Social Insurance ","NULL","The Atlas of Social Protection: Indicators of Resilience and Equity (ASPIRE)",
"SL.AGR.0714.FE.ZS","Child employment in agriculture, female (% of female economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting, forestry and logging, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.AGR.0714.MA.ZS","Child employment in agriculture, male (% of male economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting, forestry and logging, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.AGR.0714.ZS","Child employment in agriculture (% of economically active children ages 7-14)","Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting, forestry and logging, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.AGR.EMPL.FE.ZS","Employment in agriculture, female (% of female employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.AGR.EMPL.MA.ZS","Employment in agriculture, male (% of male employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.EMP.1524.SP.FE.NE.ZS","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.","International Labour Organization, Key Indicators of the Labour Market database.",
