"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"BG.GSR.NFSV.GD.ZS","Trade in services (% of GDP)","Trade in services is the sum of service exports and imports divided by the value of GDP, all in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",
"BM.GSR.CMCP.ZS","Communications, computer, etc. (% of service imports, BoP)","Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BM.GSR.GNFS.CD","Imports of goods and services (BoP, current US$)","Imports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from nonresidents to residents of general merchandise, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BM.GSR.MRCH.CD","Goods imports (BoP, current US$)","Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BM.GSR.NFSV.CD","Service imports (BoP, current US$)","Services refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BM.GSR.TOTL.CD","Imports of goods, services and primary income (BoP, current US$)","Imports of goods, services and primary income is the sum of goods imports, service imports and primary income payments. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BM.GSR.TRAN.ZS","Transport services (% of service imports, BoP)","Transport covers all transport services (sea, air, land, internal waterway, pipeline, space and electricity transmission) performed by residents of one economy for those of another and involving the carriage of passengers, the movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Also included are postal and courier services. Excluded are freight insurance (included in insurance services); goods procured in ports by nonresident carriers (included in goods); maintenance and repairs on transport equipment (included in maintenance and repair services n.i.e.); and repairs of railway facilities, harbors, and airfield facilities (included in construction).","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BM.GSR.TRVL.ZS","Travel services (% of service imports, BoP)","Travel covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Travel includes local transport (i.e., transport within the economy being visited and provided by a resident of that economy), but excludes international transport (which is included in passenger transport. Travel also excludes goods for resale, which are included in general merchandise.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BN.GSR.GNFS.CD","Net trade in goods and services (BoP, current US$)","Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BN.GSR.MRCH.CD","Net trade in goods (BoP, current US$)","Net trade in goods is the difference between exports and imports of goods. Trade in services is not included. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BX.GSR.CCIS.CD","ICT service exports (BoP, current US$)","Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BX.GSR.CCIS.ZS","ICT service exports (% of service exports, BoP)","Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions).","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BX.GSR.GNFS.CD","Exports of goods and services (BoP, current US$)","Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, net exports of goods under merchanting, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BX.GSR.MRCH.CD","Goods exports (BoP, current US$)","Goods exports refer to all movable goods (including nonmonetary gold and net exports of goods under merchanting) involved in a change of ownership from residents to nonresidents. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BX.GSR.NFSV.CD","Service exports (BoP, current US$)","Services refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"BX.GSR.TOTL.CD","Exports of goods, services and primary income (BoP, current US$)","Exports of goods, services and primary income is the sum of goods exports, service exports and primary income receipts. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
